项目类型,众筹状态,项目编号,项目名称,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目进展数,评论数,是否制作视频
其他,已成功,18371,渤海边的移动冰淇淋车,300000,307260,139,5,15.00,3,1,0,否
其他,已成功,17119,一针一线心连心,6000,3860,16,5,20.00,5,1,0,否
其他,已成功,18705,ITI金融互联网研习社纳新，1800%年回报率是怎么做到的？,1000,1200,24,1,50.00,18,1,0,否
其他,已成功,18463,能够『恰到好处』填入胃里的甜点：蓝带只是一个开始,3000,4142,43,7,10.00,12,1,1,否
其他,已成功,18498,2015血腥情人节——七宗罪主题式巧克力套装,200000,14545,40,5,49.00,8,1,1,否
其他,已成功,16931,一梦向黔，许场远征。,8000,1630,23,7,21.00,16,1,1,否
其他,已成功,18555,Sweet Way纯手工甜品店筹建,300000,440600,258,6,200.00,7,1,1,否
其他,已成功,16845,一只时间的信鸽，连接十年后的你我,8000,890,23,6,0.00,15,1,1,否
其他,已成功,18398,丽雅约定｜2015年让我们一起在韩国过年,250000,505680,27,2,13140.00,11,1,0,否
其他,已成功,18410,下一站，未知之地——全世界的女性都在做什么,10000,11820,67,8,10.00,6,1,1,否
其他,已成功,16778,爱上更纯粹的长跑 蜕变更雷励的人生,6000,9225,46,4,25.00,10,1,2,否
其他,已成功,17672,时光素颜，为TA定制一个最温润的冬天,3000,5001,55,6,19.00,30,1,6,否
其他,已成功,17284,丽雅约定|韩国的婚纱圣诞之旅,250000,337500,21,2,13500.00,8,1,0,否
其他,已成功,17197,【送福利】冬日玩耍去哪里，免费温泉等着你！,20000,206000,"1,030",1,200.00,17,1,13,否
其他,已成功,17356,LOVEBOX致爱盒子——按月订购的情侣惊喜约会服务,9999,10066,56,3,2.00,7,2,4,否
其他,已成功,16843,面朝草原，心暖花自开【草原腹地，顶级别野—南北此间】,1000,3645,72,7,5.00,3,1,8,否
其他,已成功,16343,众筹—3D“打印龙队”,31000,1127,23,1,49.00,11,0,2,否
其他,已成功,16603,做开山面霸元老，共建面条文化的美食道场,100000,146600,16,4,300.00,15,0,16,否
其他,已成功,16498,来自星星的Miss炸鸡,650000,675150,25,4,150.00,8,0,16,否
其他,已成功,16150,人人都是志愿者——谁说公益不能好玩又时尚,20000,959,17,7,15.00,17,0,3,否
其他,已成功,16316,气味图书馆，寻找你心目中的北京味道,100000,103805,349,6,9.00,1,0,23,否
其他,已成功,16268,爱滋徒步·广州——和世界冠军一起，用爱的脚步点亮广州塔,10000,5820,31,6,10.00,12,0,1,否
其他,已成功,16247,两周“微信”授课，让你像盼盼一样会画“美腻”的画,11079,13062,60,5,30.00,29,1,4,否
其他,已成功,15878,适食FitTime：我们要做新的健身概念和体验空间,300000,497400,21,3,600.00,6,0,3,否
其他,已成功,15953,定格永恒的瞬间：这个十月用爱记录我们的美好,150000,227000,16,3,9500.00,7,0,1,否
其他,已成功,15930,吃我的糖，追你我的梦,2000,2006,40,5,36.00,12,0,8,否
其他,已成功,15245,解忧邮筒：远方有一个邮筒在等你,1000,1000,24,4,5.00,5,0,1,否
其他,已成功,15352,丽雅约定为您定格永恒的瞬间,250000,296400,18,3,9800.00,16,0,1,否
其他,已成功,15357,一花一草一清皂，让我们一起“皂”化时光,3000,6950,70,4,60.00,32,0,23,否
其他,已成功,15085,世界是我念过最好的大学,50000,61668,"1,995",10,56.00,7,0,20,否
其他,已成功,14044,何小仙的旅行者火锅铺。献给在路上的旅人，吾心安处是我乡,20000,7070,37,6,30.00,8,0,2,否
其他,已成功,15084,跟随牛津学子Microfinance项目探访goldcoast——西非加纳,8000,9690,61,8,30.00,9,0,3,否
其他,已成功,14791,哆啦A梦的口袋一样的零食盒子,2000,25570,309,7,10.00,13,0,29,否
其他,已成功,14209,以设计的名义干一桶白酒——燃点白酒私人定制工坊,400000,407980,419,6,28.00,1,0,89,否
其他,已成功,14590,遇见更好的自己——到你的家乡建一座图书馆,1500,2880,26,4,20.00,1,0,1,否
其他,已成功,14319,支持贫困山区：筑起希望之路,50000,333,7,5,29.00,9,0,5,否
其他,已成功,14482,秘境探访——打造不一样的云南民族风情地图（美食篇:鸡枞）,1000,1080,3,3,160.00,6,0,7,否
其他,已成功,13379,寻找999位背包客&客栈控  共建大理客栈梦想孵化基地,30000,36000,174,7,50.00,16,0,46,否
其他,已成功,14015,伏牛堂：寻找647位“霸蛮”堂客,10000,12350,91,5,30.00,12,0,9,否
其他,已成功,13923,舌尖上的徽式枕头粽,1000,1470,15,1,98.00,8,0,5,否
其他,已成功,13619,一个返乡青年改变乡村的梦想,1500,1800,12,4,50.00,8,0,1,否
其他,已成功,13546,“Hello stranger，我想为你照张相！”实验摄影展,3000,850,4,5,30.00,6,0,11,否
其他,已成功,13626,公益暖男和青年小客厅,1500,2330,26,4,10.00,16,0,3,否
其他,已成功,13606,"Here's To Change,为社会创新周之旅筹款",1030,1310,20,3,30.00,8,0,1,否
其他,已成功,13206,后人们的农业梦：创建一个具有人格化魅力的农业品牌,8000,11620,180,4,29.00,20,0,9,否
其他,已成功,13879,召集全国1500个会员共建一起开工社区,600000,728000,661,6,150.00,11,0,41,否
其他,已成功,13220,枪与玫瑰——白色情人节必备装备,19701,2388,12,1,199.00,1,0,7,否
其他,已成功,13217,真心有种｜兮谷“跟•本计划”招募传统文化梦想同行者,3531,3656,136,2,321.00,15,0,8,否
其他,已成功,12989,中国三明治线下实体空间——“故事公园”开始招募天使会员啦！,20000,21200,70,2,200.00,10,0,8,否
其他,已成功,13045,“美丽的女权徒步”博物展,10000,11000,53,4,10.00,8,0,8,否
其他,已成功,12999,两个巨蟹座女生的自白：无辣不欢之寻找222个你,2222,3136,54,5,20.00,15,0,14,否
其他,已成功,12956,『青堇手工皮具』我的純手工皮具夢想,3000,3000,13,9,30.00,40,0,17,否
其他,已成功,12804,［达哥拯救老味道］——年货抢购，越抢越有［礼］！,100000,7030,59,2,110.00,12,0,1,否
其他,已成功,12741,过年了，把黄山美味带回家,50000,3305,16,6,50.00,25,0,5,否
其他,已成功,12254,在这些操蛋的日子里，你具备“孨”（zhuǎn）能量吗？,3000,3350,24,5,50.00,4,0,13,否
其他,已成功,12110,TEDxQujiang官方授权2013分享会：睿思致远,1000,5061,50,2,80.00,6,0,25,否
其他,已成功,12266,PP梦之岛——你有没有想过，成为一座小岛的岛主？,8000,8573,46,9,30.00,10,0,9,否
其他,已成功,11378,912天的相伴，一名山区志愿教师的诺言,2000,2432,14,5,30.00,20,0,6,否
其他,已成功,12035,PC横版射击塔防《微观战争》——只想做一款自己喜欢爱玩的游戏,8000,9116,68,8,10.00,58,0,26,是
其他,已成功,13158,乐高俱乐部,1000,1050,21,1,50.00,2,0,1,否
其他,已成功,11097,一张家友卡致为你送去我的祝福,2000,2108,19,8,8.00,13,0,5,否
其他,已成功,11059,爱的礼物——与绿盒子公主一起助力青海玉树福利院,51000,51710,34,7,10.00,35,0,10,否
其他,已成功,13184,很多人的青年旅舍,1000,10010,2,2,10.00,0,0,5,否
其他,已成功,10792,拉萨酸奶哥筹建公共沙发客空间,8000,8350,61,5,50.00,11,0,20,否
其他,已成功,174,用牛奶酿造北京二锅头！,1000,1200,6,1,200.00,2,0,1,否
其他,已成功,13172,让乐高还原大电子,5000,6100,34,3,100.00,8,0,6,否
其他,已成功,10734,“手划彩虹，让爱行动”——清华手语社聋健沟通活动,3600,3600,22,6,50.00,15,0,11,否
其他,已成功,86,打造植物图书馆， 寻找一平方米植物的故事,500,615,15,4,9.00,3,0,4,否
其他,已成功,564,尼泊尔流浪儿童关爱行动——青年有爱，孤儿回家,6250,7000,29,7,50.00,8,0,5,否
其他,已成功,79,总要上路的，START FROM立人大学,1000,1100,15,5,10.00,0,0,0,否
其他,已成功,101,雷励中国——相约重庆,1000,1006,17,9,9.00,22,0,7,否
其他,已成功,61,明信片制作——一只柠檬的私奔,1000,1030,50,5,10.00,7,0,19,否
其他,已成功,85,最有爱的邮递员——邮递属于你的独特故事,1000,1710,32,8,5.00,5,0,2,否
