项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
农业,126121,一人一元，寻找身边放心大米,已成功,200000,202287,8944,6,1.00,11,5,318,否,31,581,项目成功结束后立即发货,北京,已经结束
农业,157543,《不知名茶3》长白山脉已被我们承包，只差你这个森林之王,已成功,500000,3209912,3249,7,1.00,10,4,260,否,11,1018,项目成功结束后20天内,北京,已经结束
农业,140815,【黑鸡枞教父众筹】聆听吃出的健康传奇,已成功,100000,2052718,2665,5,98.00,23,4,97,是,102,1828,项目成功结束后30天内,北京,已经结束
农业,252445,舌尖上的五常稻花香米，“三株稻”品质良心米（众筹第二期）,已成功,100000,494469,1968,8,5.00,32,5,66,否,42,124,项目成功结束后30天内,黑龙江 哈尔滨,已经结束
农业,251368,舌尖上的五常稻花香米，“三株稻”品质良心米,已成功,100000,566326,1940,8,6.00,13,6,216,否,20,999,项目成功结束后立即发货,黑龙江 哈尔滨,已经结束
农业,171970,千岛湖淳鱼增殖放流众筹,已成功,200000,214340,1896,5,1.00,10,4,272,否,39,615,项目成功结束后立即发货,浙江 杭州,已经结束
农业,466894,柚见中秋 邮爱回家,已成功,50000,107115,1501,4,29.00,18,0,51,是,16,321,项目成功结束后10天内,广东 梅州,已经结束
农业,20353,【县长众筹】 永和核桃圆孩子书屋梦,已成功,150000,866675,1364,6,5.00,22,7,238,否,0,175,项目成功结束后7天内,山西 临汾,已经结束
农业,193234,每个童年都是限量版--和吴秀波一起为爱子手绘定制限量版尼雅干红,已成功,50000,57104,1221,4,1.00,2,5,121,否,3,982,项目成功结束后立即发货,北京,已经结束
农业,160876,全民从粮【有畝地】,已成功,50000,51597,1201,4,1.00,19,8,96,否,17,1000,项目成功结束后立即发货,北京,已经结束
农业,182590,99%中国人没有尝过的正山小种,已成功,100000,103936,1184,6,1.00,9,4,56,是,14,1101,项目成功结束后立即发货,浙江 杭州,已经结束
农业,530683,传说，江湖上有一种酒叫兄弟！,已成功,100000,100242,1102,4,1.00,1,23,33,否,19,178,项目成功结束后15天内,四川 德阳,已经结束
农业,204892,生长在铁矿石上的板栗，缘于燕山山脉原生态！,已成功,100000,101259,1083,6,1.00,18,5,100,否,5,258,项目成功结束后3天内,河北 承德,已经结束
农业,263128,品鲜，品新米，口口留香！,已成功,100000,103804,1057,3,10.00,6,10,91,否,7,778,项目成功结束后15天内,北京,已经结束
农业,298225,一种习惯从¥1开始,已成功,50000,50122,974,5,1.00,5,9,111,是,32,777,项目成功结束后15天内,河南 开封,已经结束
农业,602578,创意食品 军人品质,已成功,20000,21357,741,3,1.00,11,12,88,是,63,215,项目成功结束后30天内,江苏 苏州,已经结束
农业,344446,大山的气息，一份天然的松香,已成功,1000,1416,734,3,1.00,11,10,19,否,2,4,项目成功结束后10天内,云南 楚雄,已经结束
农业,335830,为未来众筹国际有机枸杞林地,已成功,50000,51109,721,5,1.00,13,10,62,否,12,35,项目成功结束后30天内,青海 西宁,已经结束
农业,2058,众志成橙感恩季——赣南脐橙原产地直供第二季,已成功,240000,262514,674,6,86.00,0,3,75,否,0,341,项目成功结束后10天内,江西 赣州,已经结束
农业,335257,【一江莲】桐木关制茶，回馈新老客户,已成功,50000,50428,670,4,2.00,10,16,61,否,41,55,项目成功结束后5天内,浙江 杭州,已经结束
农业,363226,自然之珍，水果之王——枇杷众筹第三季,已成功,1000,1238,629,2,1.00,7,11,40,否,1,7,项目成功结束后10天内,四川 成都,已经结束
农业,216208,彩蛋，为孩子打造的创意鸡蛋,已成功,100000,104631,624,3,1.00,20,10,127,否,39,192,项目成功结束后30天内,河南 郑州,已经结束
农业,609937,蒙都年羊 福禄吉祥,已成功,26700,27643,619,2,1.00,20,1,7,是,38,6,项目成功结束后立即发货,河北 石家庄,已经结束
农业,551887,做有底线的枸杞，我才不要转基因,已成功,2000,40313,615,3,25.00,15,5,58,否,63,81,项目成功结束后立即发货,甘肃 白银,已经结束
农业,363943,他从荷兰留学回来，带回了属于中国人的华夫饼,已成功,22300,23303,608,4,6.00,6,6,35,否,22,1,项目成功结束后60天内,上海,已经结束
农业,183874,“巨刚众酒”第叁季：中国最好的纯手工冬酿陈年绍兴黄酒,已成功,99000,455313,603,4,99.00,17,4,139,否,5,301,项目成功结束后立即发货,北京,已经结束
农业,338689,【腾冲极边小蜜人蜂蜜】因教育因孩子而产生的蜂蜜,已成功,50000,54960,595,5,28.00,13,10,130,是,48,183,项目成功结束后2天内,云南 保山,已经结束
农业,615778,从外企辞职、北大休学，他做了中国最牛的红糖厂,已成功,20000,92218,589,5,46.00,20,9,120,是,42,273,项目成功结束后立即发货,云南 玉溪,已经结束
农业,283000,『湘柳绿』湘西黄金茶---来自古寨白云间的稀有茶源,已成功,100000,103461.01,586,5,26.00,3,10,114,是,4,398,项目成功结束后立即发货,湖南 湘西,已经结束
农业,169828,《易武味道》——带你探寻真正的易武普洱的味道,已成功,3000,5964,584,5,1.00,2,6,49,否,4,533,项目成功结束后7天内,北京,已经结束
农业,241237,【电商扶贫】掀开红色的神秘面纱邂逅真正的我,已成功,10000,56901,575,5,9.00,9,9,133,是,1,10,项目成功结束后5天内,甘肃 陇南,已经结束
农业,404455,传奇一般的人生，需要一杯春茶,已成功,10000,51000,566,3,1.00,18,7,32,否,3,162,项目成功结束后5天内,福建 泉州,已经结束
农业,215938,和写逸来场改变人生的茶局吧,已成功,20000,29537,558,8,1.00,21,10,104,否,9,500,项目成功结束后20天内,上海,已经结束
农业,404065,企美有机初产柴鸡蛋，您与宝宝共享的第一枚鸡蛋。,已成功,100000,100006,558,5,2.00,10,9,45,否,7,376,项目成功结束后3天内,河北 邯郸,已经结束
农业,78082,【不知名茶】100块钱，和90后一起包1000座茶山,已成功,20000,1079351,549,4,1.00,11,3,78,是,12,229,项目成功结束后立即发货,北京,已经结束
农业,1343,众志成橙——赣南脐橙原产地直供,已成功,240000,241744,530,6,86.00,0,3,180,否,0,310,项目成功结束后10天内,江西 赣州,已经结束
农业,320095,梅季不是美人计，把心爱送给心爱。纯纯的雪山青梅酒，品尝最初的青甜。,已成功,20000,30242,525,4,1.00,3,10,73,否,14,200,项目成功结束后15天内,四川 成都,已经结束
农业,254323,以爱之名——来自深山的甜蜜,已成功,10000,10115,518,5,1.00,30,10,26,否,10,14,项目成功结束后立即发货,甘肃 天水,已经结束
农业,581998,你是啥样的大米？一亩才产300斤,已成功,50000,51125,510,3,35.00,18,17,43,否,32,229,项目成功结束后10天内,安徽 芜湖,已经结束
农业,246850,万人众筹，帮助农户农产品走出大山和退伍军人圆创业梦！,已成功,10000,10200,497,3,9.00,9,11,30,否,3,50,项目成功结束后5天内,甘肃 陇南,已经结束
农业,321631,15元众筹一座古法作坊，为你熬制6种暖心红糖,已成功,20000,28311,496,5,1.00,13,15,150,否,32,200,项目成功结束后立即发货,广西 贵港,已经结束
农业,344125,为了舌尖上的安全！10元众筹鲜嫩玉米！,已成功,20000,20313,494,5,10.00,24,12,101,否,34,99,项目成功结束后7天内,安徽 宿州,已经结束
农业,471625,杂粮出身，掀起主食革命！,已成功,80000,82530,491,6,1.00,27,1,22,否,8,28,项目成功结束后立即发货,山东 泰安,已经结束
农业,287446,为酒成魔：惟饮者，1000万只为一款酒,已成功,200000,207340,484,6,1.00,20,10,67,否,5,319,项目成功结束后30天内,北京,已经结束
农业,317926,世界再大，也要回家。带上小鲜肉原酿鲜酒，和儿时的玩伴见见面吧,已成功,100000,120731.10,484,4,66.00,9,10,109,否,8,409,项目成功结束后立即发货,浙江 杭州,已经结束
农业,237211,【祁雅】祁门红茶，十大茗茶之一，来自安徽祁县原产地的味道！,已成功,10000,14451,482,4,1.00,18,8,44,否,1,239,项目成功结束后7天内,安徽 黄山,已经结束
农业,320863,自然之珍，水果之王——枇杷众筹第二季,已成功,1000,1107,469,3,1.00,7,8,11,否,0,5,项目成功结束后10天内,云南 红河,已经结束
农业,184270,水晶葫芦酒：一款市面上买不到的好酒,已成功,99000,216418,439,6,69.00,4,5,142,否,14,106,项目成功结束后立即发货,山东 济南,已经结束
农业,122782,“巨刚众酒”第贰季：中国最好的手工酿制陈年绍兴黄酒,已成功,99000,343154,435,3,99.00,13,3,37,否,10,212,项目成功结束后立即发货,北京,已经结束
农业,390727,众筹一把烟台大樱桃,已成功,1000,2095,429,3,1.00,1,9,32,否,0,17,项目成功结束后10天内,山东 烟台,已经结束
农业,601681,自己育苗的非转基因紫薯，无农药化肥，错过等一年。,已成功,2000,24025,428,2,28.00,20,5,48,否,17,87,项目成功结束后立即发货,河北 邯郸,已经结束
农业,581023,咬一口，嘎嘣脆,已成功,20000,20218,419,4,1.00,10,2,11,否,12,55,项目成功结束后3天内,山西 运城,已经结束
农业,197626,斗出来的好茶——第四届马连道全国斗茶大赛,已成功,100000,101198,407,4,1.00,9,4,60,否,29,148,项目成功结束后立即发货,北京,已经结束
农业,170563,品味经典—订制一炉正宗果木熏制纯肉哈尔滨红肠,已成功,20000,45157,399,3,29.00,10,6,128,否,5,87,项目成功结束后7天内,黑龙江 哈尔滨,已经结束
农业,298948,中国好柑橘 - 中国最好的十个品种，依次呈现，前所未有！,已成功,99000,155558,397,5,198.00,40,10,78,否,1,274,项目成功结束后立即发货,上海,已经结束
农业,556813,细沙土里出美味，这儿的红薯特别香,已成功,2000,16466,387,2,22.00,21,2,16,否,35,60,项目成功结束后立即发货,河北 邯郸,已经结束
农业,332599,赵禹选酒之中国最好的纯手工冬酿绍兴黄酒,已成功,99500,178911,386,3,199.00,13,10,44,否,2,310,项目成功结束后立即发货,北京,已经结束
农业,163585,和平众宣——真正的明清古纸手工宣,已成功,39900,804636,384,4,399.00,9,4,79,否,12,208,项目成功结束后立即发货,北京,已经结束
农业,183907,纯正高山 白牡丹  喝出大山的静谧,已成功,10000,11790,381,3,1.00,4,7,34,否,6,324,项目成功结束后10天内,福建 厦门,已经结束
农业,506809,古地莱阳，有阳光，有千亩梨园,已成功,30000,30238,379,6,1.00,1,6,29,否,8,173,项目成功结束后15天内,山东 烟台,已经结束
农业,321622,皮蛋的清  咸蛋的黄——来自自贡盐都的琥珀盐蛋,已成功,9999,11891,375,5,10.00,8,31,77,否,5,100,项目成功结束后7天内,四川 自贡,已经结束
农业,379906,深山里的呼唤 —— 红豆杉,已成功,5000,5619,372,4,6.00,16,10,4,否,325,12,项目成功结束后30天内,甘肃 陇南,已经结束
农业,655317,伊犁河谷好大米，来自绝域高原的粒粒珍稀,众筹中,100000,53413,372,6,1.00,20,5,17,是,36,NOTFOUND,项目成功结束后25天内,新疆 伊犁,20天
农业,396409,三哥为之倾注一生的甜“蜜”--三哥原蜜,已成功,20000,20187,359,3,1.00,20,13,36,否,18,29,项目成功结束后立即发货,湖北 黄石,已经结束
农业,627264,风云相伴十二载 • 年年有渔创味来,已成功,68000,105512,359,2,128.00,23,6,69,否,21,292,项目成功结束后7天内,农业 黎婉仪,已经结束
农业,299719,上帝的禁果-奇果林百香果,已成功,30000,31319,356,6,1.00,8,23,81,否,8,127,项目成功结束后立即发货,广西 崇左,已经结束
农业,295477,金字塔尖的有机茶，安全放心捍卫健康,已成功,20000,53459,356,4,45.00,9,9,33,否,14,155,项目成功结束后立即发货,福建 厦门,已经结束
农业,330460,“IT神童”投身生态农业整六载，只为追寻儿时那清醇的饭香,已成功,16666,54830,352,6,19.00,26,8,96,否,21,112,项目成功结束后立即发货,湖北 武汉,已经结束
农业,221749,限量特供：中国最干净、最好吃、最营养的特级紫土豆,已成功,50000,265206,349,6,1.00,18,10,84,是,16,114,项目成功结束后立即发货,北京,已经结束
农业,301912,诚心橙意第二季，最鲜崔家 赣南脐橙，绝对物超所值特惠3.3元/斤起,已成功,11000,16375,347,6,1.00,23,22,122,否,3,94,项目成功结束后立即发货,江西 赣州,已经结束
农业,192343,县委书记众筹——康县原生态优质天麻的新生,已成功,10000,27791,344,3,29.00,37,5,77,否,6,74,项目成功结束后15天内,甘肃 陇南,已经结束
农业,455017,今年，您的水果，我承包了！,已成功,20000,20473,342,8,2.00,17,0,10,否,9,23,项目成功结束后2天内,四川 眉山,已经结束
农业,525418,帮柔弱的肩膀挑起家庭的重担，替求索的目光实现大学的梦想！,已成功,10000,12782,338,5,1.00,14,2,77,否,120,34,项目成功结束后5天内,福建 漳州,已经结束
农业,515626,山中有好茶，世人皆不知，缘岭梅尖茶，待寻有缘人,已成功,100000,105512,337,5,98.00,6,6,47,否,9,128,项目成功结束后30天内,福建 龙岩,已经结束
农业,242791,五马之约——森林深处的野生猕猴桃,已成功,5000,25058,333,4,10.00,18,5,43,否,196,53,项目成功结束后立即发货,甘肃 陇南,已经结束
农业,290698,【致匠心】陈永顺师傅的手工头层腐竹，只为赢得您舌尖的认可,已成功,15000,16364,325,5,1.00,11,12,56,否,3,69,项目成功结束后3天内,广东 河源,已经结束
农业,616549,一杯等待了千年的酒，足以慰世间所有风尘,已成功,10000,106137,318,7,2.00,44,0,23,是,2,10,项目成功结束后1天内,浙江 台州,已经结束
农业,293347,e桶油--为国人健康加油,已成功,100000,120625,308,5,1.00,3,8,71,否,6,82,项目成功结束后90天内,内蒙古 呼和浩特,已经结束
农业,526393,秦岭深处，万亩蜜源，他家的蜂蜜很天然,已成功,10000,13654,308,5,29.00,10,0,17,否,6,213,项目成功结束后立即发货,陕西 西安,已经结束
农业,328795,北纬38°贺兰山东麓，罕见100%美乐酿造，“艾之兰田园时光”干红葡萄酒,已成功,20000,46178,307,5,1.00,4,9,35,否,13,61,项目成功结束后3天内,宁夏 银川,已经结束
农业,323203,“巨刚众酒”第肆季：纯手工冬酿绍兴黄酒“春节暖心大礼盒”,已成功,268000,357746,306,4,268.00,16,9,71,否,0,170,项目成功结束后立即发货,北京,已经结束
农业,525145,黑茶，五年入药，十年当宝，岁月造就能喝的古董,已成功,100000,100568,305,3,5.00,5,10,22,是,10,70,项目成功结束后立即发货,山东 济南,已经结束
农业,374287,找回太平猴魁100年前的原初真味,已成功,50000,50042,304,5,48.00,7,12,21,否,6,216,项目成功结束后15天内,安徽 黄山,已经结束
农业,32896,“巨刚众酒”第一季：中国最好的手工酿制陈年绍兴黄酒,已成功,99000,179883,304,3,99.00,11,3,62,否,0,185,项目成功结束后45天内,北京,已经结束
农业,279112,“一山一蜜”纯与真——穿越古滇国的寻蜜之旅,已成功,20000,20257,301,3,6.00,6,10,27,否,5,245,项目成功结束后立即发货,云南 昆明,已经结束
农业,487468,农民科学养蜂，只差一个蜂箱，我为农家土蜂科学养殖保种繁育发起众筹,已成功,20000,20301,297,4,50.00,5,22,18,否,80,138,项目成功结束后10天内,甘肃 庆阳,已经结束
农业,68863,＂柑桔皇后＂之潮州蕉柑“清泉蔌蔌先流齿，香雾霏霏欲巽人”,已成功,20000,25594,285,8,1.00,18,5,61,否,4,110,项目成功结束后立即发货,广东 潮州,已经结束
农业,144859,创意改变产业！漳平水仙茶创制百年纪念大饼值得您拥有！,已成功,10000,74109,282,5,1.00,7,31,62,否,12,100,项目成功结束后30天内,福建 龙岩,已经结束
农业,162358,【安太集团众筹】健康吃喝玩（一站式解决您的高品质生活需求）,已成功,80000,80043,281,5,8.00,16,8,53,是,2,169,项目成功结束后20天内,河南 信阳,已经结束
农业,163405,寻1000名吃货，尝鲜【中国柑橘之乡】限量首发,已成功,5000,7044,280,6,9.00,14,7,156,是,0,100,项目成功结束后5天内,湖南 常德,已经结束
农业,340816,【不知名茶4】执子千元，予子千山；一份健康慢递，调养四季生息。,已成功,200000,200355,278,0,0.00,20,8,259,是,78,200,项目成功结束后立即发货,北京,已经结束
农业,217480,尝寿乡鲜米，建生态田园。,已成功,50000,54052,274,5,20.00,2,4,99,否,6,55,项目成功结束后立即发货,江苏 南通,已经结束
农业,167389,都是农夫梦，我的果园帮您来圆梦,已成功,80000,82556,274,4,1.00,12,94,107,否,7,178,项目成功结束后立即发货,山东 威海,已经结束
农业,158761,五加红茶，铁观音原叶逆袭做顶级红茶,已成功,12345,20064,273,5,1.00,16,5,50,否,13,20,项目成功结束后10天内,广东 深圳,已经结束
农业,197323,肉中贵族---“荭蕃”呼伦贝尔羔羊肉【吃着中草药、喝着矿泉水长大！】,已成功,80000,89462,272,4,99.00,8,4,75,否,6,71,项目成功结束后15天内,辽宁 沈阳,已经结束
农业,427123,小炉酱酒、暖胃走心 “寻找酒友”第一季,已成功,50000,128561,269,4,129.00,4,17,55,否,24,49,项目成功结束后立即发货,贵州 遵义,已经结束
农业,180187,【子睿汇聚，知茶一品】云南知名古树普洱茶之昔归,已成功,20000,20779,269,7,1.00,6,14,33,是,2,139,项目成功结束后20天内,云南 昆明,已经结束
农业,576796,五常寒稻有机米,已成功,10000,10215,269,2,1.00,4,20,47,否,36,217,项目成功结束后立即发货,黑龙江 哈尔滨,已经结束
农业,20719,【筹蟹】金秋感恩，为您诚意众筹阳澄湖大闸蟹,已成功,20000,30223,268,7,1.00,13,3,98,是,0,189,项目成功结束后3天内,北京,已经结束
农业,433924,美味多滋的奇异果，竟然诞生在在秦岭北麓的一个种植园,已成功,30000,30103,265,3,1.00,26,8,69,否,68,37,项目成功结束后立即发货,陕西 宝鸡,已经结束
农业,200062,【中秋蟹礼】来自沉湖湿地保护区，每个人都吃得起的原生态有机蟹,已成功,100000,103044,264,3,10.00,6,4,29,否,6,100,项目成功结束后立即发货,湖北 武汉,已经结束
农业,330718,15元带您亲手采摘赣南寻乌有机脐橙！请随我们赴一场说走就走的寻橙之旅！,已成功,10000,12273,262,4,15.00,8,8,36,否,5,29,项目成功结束后3天内,上海,已经结束
农业,315577,陈皮普洱，一款特别的茶，一份新年的祝福！,已成功,20000,47581,262,3,49.00,51,7,84,否,1,59,项目成功结束后30天内,广东 江门,已经结束
农业,464803,这哥们儿疯了，放弃百万年薪回到村里，只是为了种植出遵从古法的小米,已成功,20000,21525,261,3,30.00,20,4,25,否,79,100,项目成功结束后1天内,河北 邢台,已经结束
农业,311176,拯救果农，回馈美味苹果,已成功,1000,1208,261,3,1.00,4,8,25,否,2,14,项目成功结束后10天内,山东 临沂,已经结束
农业,590968,细沙土里出美味，这儿的红薯特别香,已成功,2000,12193,261,2,22.00,21,3,10,否,19,32,项目成功结束后立即发货,河北 邢台,已经结束
农业,201031,景芝微醺－一款喝出来的好酒,已成功,100100,101240,260,6,1.00,1,5,81,否,4,175,项目成功结束后立即发货,山东 济南,已经结束
农业,152056,当端午遇到父亲节，让杂粮粥滋养你爱的人,已成功,10000,10015,259,5,1.00,10,4,123,否,14,85,项目成功结束后立即发货,山东 济南,已经结束
农业,317620,筹一个酒庄，让爱喝酒的我们有一个讲故事的地方。,已成功,50000,102416,254,2,136.00,24,13,107,否,96,60,项目成功结束后5天内,浙江 金华,已经结束
农业,337459,“众”一棵鹰嘴蜜桃树，“筹”一片山水桃园,已成功,30000,36177,253,4,1.00,28,9,52,否,14,7,项目成功结束后10天内,广东 河源,已经结束
农业,254329,诸暨人请你来吃香榧--深山珍果（2015年10月最新一批果子）,已成功,10000,10561,251,6,1.00,19,8,57,否,1,220,项目成功结束后立即发货,浙江 绍兴,已经结束
农业,17795,一位年迈的老者与柚子的不解情缘,已成功,1000,7213,249,4,1.00,17,3,142,否,0,107,项目成功结束后10天内,福建 漳州,已经结束
农业,174334,每天享用一颗苹果  助力青岛润耕佰川,已成功,20000,40311,248,3,1.00,24,6,58,是,16,100,项目成功结束后30天内,山东 青岛,已经结束
农业,302740,【富川脐橙】90后新农人带您品尝最好的富川脐橙,已成功,10000,14966,248,4,39.00,6,12,77,否,9,93,项目成功结束后3天内,广西 南宁,已经结束
农业,489625,莲甜心苦——贫困农民需要您的关心和帮助,已成功,20000,20470,246,3,50.00,11,1,10,否,36,45,项目成功结束后10天内,江西 上饶,已经结束
农业,129880,带着一颗红心出发,已成功,30000,30375,244,7,1.00,24,4,21,否,7,77,项目成功结束后7天内,广东 梅州,已经结束
农业,245056,【关爱留守 让爱回家】 同共见证长白山真正的野山参,已成功,200000,202646,240,8,1.00,19,10,97,是,5,186,项目成功结束后7天内,上海,已经结束
农业,37747,两头乌美味归来 为宝贝养头放心猪,已成功,30000,33599,240,4,1.00,19,3,105,否,0,157,项目成功结束后30天内,浙江 嘉兴,已经结束
农业,620818,小轻奢【坚果日记】7种果仁·每日1包 助力跨新年,已成功,20000,20989,240,3,1.00,5,5,17,否,3,53,项目成功结束后立即发货,NOTFOUND,已经结束
农业,519877,伤心的苹果---为在冰雹灾害中受伤的花牛苹果寻找出路,已成功,10000,10561,239,4,1.00,1,9,18,否,19,29,项目成功结束后立即发货,甘肃 天水,已经结束
农业,409315,我们是90后，我们种植自己的梦想,已成功,18000,18001,238,4,1.00,10,10,23,否,5,1,项目成功结束后260天内,四川 成都,已经结束
农业,148456,蔚州贡米【圆孩子书屋梦】—— 御谷道,已成功,13000,13748,234,3,5.00,27,4,24,否,15,98,项目成功结束后立即发货,河北 张家口,已经结束
农业,19162,【赉康大米】在东北原生态湿地为自己筹一座粮仓吧,已成功,200000,246059,233,5,1.00,6,3,61,是,0,125,项目成功结束后5天内,黑龙江 鸡西,已经结束
农业,506551,深沟峻岭深处，60后的大叔寻得乡间美味,已成功,20000,21600,232,4,5.00,14,1,26,否,70,46,项目成功结束后15天内,陕西 西安,已经结束
农业,163366,阿胶世家传承经典，由大自然而生，为原生态喝彩！,已成功,69000,69696,228,6,1.00,7,5,28,否,2,80,项目成功结束后30天内,山东 聊城,已经结束
农业,596287,小炉酱酒 暖胃走心“寻找酒友”第二季,已成功,99999,282272,228,5,774.00,1,5,42,否,9,78,项目成功结束后50天内,贵州 遵义,已经结束
农业,11098,免费品尝，柿柿如意——我不要做软柿子被你捏,已成功,6000,6784,226,4,6.00,8,3,102,否,0,195,项目成功结束后1天内,江苏 徐州,已经结束
农业,600016,“茶族皇后”金花茶，源自于一亿七千万年前，第四纪冰川时期原始山茶遗珍,已成功,20000,20089,224,4,1.00,10,3,26,否,24,112,项目成功结束后30天内,广西 南宁,已经结束
农业,286117,【自然山物 ● 本是粮品】——大山的高冷与孤独，注定了它的与众不同,已成功,30000,32918,223,7,1.00,25,9,65,是,10,10,项目成功结束后立即发货,陕西 西安,已经结束
农业,377449,【咸渔有梦】一款没有“雾霾”的酒！,已成功,10000,32732,221,6,1.00,13,14,54,是,16,15,项目成功结束后立即发货,北京,已经结束
农业,33382,众志成橙——赣南脐橙原产地直供第三季,已成功,196800,197291,221,4,106.00,4,3,79,否,1,100,项目成功结束后立即发货,北京,已经结束
农业,187441,我是一颗菜，我在等待【第二期】,已成功,50000,80655,220,5,79.00,5,8,26,否,18,150,项目成功结束后30天内,河南 开封,已经结束
